Date,spend_all,spend_acf,cityname,stateabbrev,city_pop2019
2024-10-31,0.146,0.0199,Charlotte,NC,1110356
2024-10-31,0.392,0.113,Boston,MA,803907
2024-10-31,0.159,0.0364,Denver,CO,727211
2024-10-31,0.297,0.163,Atlanta,GA,1063937
2024-10-31,0.0698,0.0843,Kansas City,MO,703011
2024-11-30,-0.0592,-0.171,Los Angeles,CA,10039107
2024-11-30,0.299,0.161,Chicago,IL,5150233
2024-11-30,0.14,0.0146,Dallas,TX,2635516
2024-11-30,0.165,0.109,Austin,TX,1273954
2024-11-30,0.116,0.0206,Charlotte,NC,1110356
2024-11-30,0.479,0.226,Boston,MA,803907
2024-11-30,0.157,-0.0295,Denver,CO,727211
2024-11-30,0.29,0.162,Atlanta,GA,1063937
2024-11-30,0.068,0.0181,Kansas City,MO,703011
2024-12-31,-0.0764,-0.15,Los Angeles,CA,10039107
2024-12-31,0.269,0.105,Chicago,IL,5150233
2024-12-31,0.112,-0.0199,Dallas,TX,2635516
2024-12-31,0.155,0.11,Austin,TX,1273954
2024-12-31,0.0772,-0.0194,Charlotte,NC,1110356
2024-12-31,0.453,0.179,Boston,MA,803907
2024-12-31,0.125,0.00927,Denver,CO,727211
2024-12-31,0.264,0.169,Atlanta,GA,1063937
2024-12-31,0.0652,0.025,Kansas City,MO,703011
2025-01-31,-0.0341,-0.104,Los Angeles,CA,10039107
2025-01-31,0.294,0.123,Chicago,IL,5150233
2025-01-31,0.179,0.00351,Dallas,TX,2635516
2025-01-31,0.172,0.0644,Austin,TX,1273954
2025-01-31,0.113,-0.0384,Charlotte,NC,1110356
2025-01-31,0.476,0.217,Boston,MA,803907
2025-01-31,0.151,-0.0184,Denver,CO,727211
2025-01-31,0.267,0.0947,Atlanta,GA,1063937
2025-01-31,0.153,0.112,Kansas City,MO,703011
2025-02-28,-0.0256,-0.122,Los Angeles,CA,10039107
2025-02-28,0.361,0.195,Chicago,IL,5150233
2025-02-28,0.225,0.05,Dallas,TX,2635516
2025-02-28,0.233,0.159,Austin,TX,1273954
2025-02-28,0.174,0.0309,Charlotte,NC,1110356
2025-02-28,0.503,0.231,Boston,MA,803907
2025-02-28,0.227,0.0361,Denver,CO,727211
2025-02-28,0.317,0.221,Atlanta,GA,1063937
2025-02-28,0.154,0.221,Kansas City,MO,703011
2025-03-31,-0.0343,-0.115,Los Angeles,CA,10039107
2025-03-31,0.391,0.198,Chicago,IL,5150233
2025-03-31,0.201,0.00857,Dallas,TX,2635516
